id|http://www.okkam.org/ontology_restaurant2.owl#name|http://www.okkam.org/ontology_restaurant2.owl#phone_number|http://www.okkam.org/ontology_restaurant2.owl#street|aggregate value
1834|italian|||italian
1835|palm  the (atlanta)|404-814-1955||palm  the (atlanta) 404-814-1955
1836|american (new)|||american (new)
1837|pinot bistro|818-990-0500||pinot bistro 818-990-0500
1838|thai|||thai
1839|||3345 kimber dr.|3345 kimber dr.
1840|bruno's|310-397-5703||bruno's 310-397-5703
1841|french (classic)|||french (classic)
1842|french|||french
1843|californian|||californian
1844|american|||american
1845|||52 236 w. 52nd st.|52 236 w. 52nd st.
1846|italian|||italian
1847|||1020 n. san vicente blvd.|1020 n. san vicente blvd.
1848|american (new)|||american (new)
1849|jan's family restaurant|213-651-2866||jan's family restaurant 213-651-2866
1850|le bernardin|212-489-1515||le bernardin 212-489-1515
1851|match|212/906-9173||match 212/906-9173
1852|hot dogs|||hot dogs
1853|||60 w. 55th st.|60 w. 55th st.
1854|||260 e. paces ferry road|260 e. paces ferry road
1855|eastern european|||eastern european
1856|colonnade restaurant|404/874-5642||colonnade restaurant 404/874-5642
1857|||930 hilgard ave.|930 hilgard ave.
1858|pisces|212-260-6660||pisces 212-260-6660
1859|southwestern|||southwestern
1860|||1134 1st ave.   between 62nd and 63rd sts.|1134 1st ave.   between 62nd and 63rd sts.
1861|osteria al droge|212/944-3643||osteria al droge 212/944-3643
1862|||21 e. 62nd st.|21 e. 62nd st.
1863|||35 w. 64th st.|35 w. 64th st.
1864|diners|||diners
1865|edison cafe|212-840-5000||edison cafe 212-840-5000
1866|||6359 jimmy carter blvd.  at buford hwy.  norcross|6359 jimmy carter blvd.  at buford hwy.  norcross
1867|american|||american
1868|||8783 beverly blvd.|8783 beverly blvd.
1869|jimmy's|310/552-2394||jimmy's 310/552-2394
1870|||1655 mclendon ave.|1655 mclendon ave.
1871|american|||american
1872|chin's|702-733-8899||chin's 702-733-8899
1873|italian|||italian
1874|||37-03 74th st.|37-03 74th st.
1875|lemongrass grill|718-399-7100||lemongrass grill 718-399-7100
1876|||152 w. 44th st.|152 w. 44th st.
1877|continental|||continental
1878|steakhouses|||steakhouses
1879|pinot hollywood|213/461-8800||pinot hollywood 213/461-8800
1880|||362 n. camden dr.|362 n. camden dr.
1881|french (new)|||french (new)
1882|||6182 w. flamingo rd.|6182 w. flamingo rd.
1883|mediterranean|||mediterranean
1884|american|||american
1885|||435 amsterdam ave.|435 amsterdam ave.
1886|peter luger steak house|718-387-7400||peter luger steak house 718-387-7400
1887|||1529 piedmont ave.|1529 piedmont ave.
1888|italian|||italian
1889|tra di noi|310/456-0169||tra di noi 310/456-0169
1890|chinese|||chinese
1891|||1600 powell st.|1600 powell st.
1892|american|||american
1893|gaylord's|415/771-8822||gaylord's 415/771-8822
1894|||32 jones st. at bleecker st.|32 jones st. at bleecker st.
1895|french bistro|||french bistro
1896|||161 steuart st.|161 steuart st.
1897|italian|||italian
1898|jack's|415/986-9854||jack's 415/986-9854
1899|||522 9th ave. at 39th st.|522 9th ave. at 39th st.
1900|thai|||thai
1901|emily's|212/996-1212||emily's 212/996-1212
1902|american|||american
1903|morton's of chicago (atlanta)|404-577-4366||morton's of chicago (atlanta) 404-577-4366
1904|buffets|||buffets
1905|locanda veneta|310-274-1893||locanda veneta 310-274-1893
1906|moose's|415/989-7800||moose's 415/989-7800
1907|||340 w. broadway at grand st.|340 w. broadway at grand st.
1908|californian|||californian
1909|fleur de jour|212/355-2020||fleur de jour 212/355-2020
1910|||2000 hyde st.|2000 hyde st.
1911|asian|||asian
1912|||3391 peachtree rd. ne|3391 peachtree rd. ne
1913|delis|||delis
1914|van gogh's restaurant & bar|770-993-1156||van gogh's restaurant & bar 770-993-1156
1915|seafood|||seafood
1916|golden unicorn|212/ 941-0911||golden unicorn 212/ 941-0911
1917|||3838 centinela ave.|3838 centinela ave.
1918|seafood|||seafood
1919|falafel king|310-208-4444||falafel king 310-208-4444
1920|coffee bar|||coffee bar
1921|american|||american
1922|||8424 beverly blvd.|8424 beverly blvd.
1923|american|||american
1924|killer shrimp|818-508-1570||killer shrimp 818-508-1570
1925|american (new)|||american (new)
1926|||160 mercer st.  between houston and prince sts.|160 mercer st.  between houston and prince sts.
1927|new york kom tang soot bul house|212/ 947-8482||new york kom tang soot bul house 212/ 947-8482
1928|pacific new wave|||pacific new wave
1929|||1879 cheshire bridge rd.|1879 cheshire bridge rd.
1930|east european|||east european
1931|mishima|213-782-0181||mishima 213-782-0181
1932|seafood|||seafood
1933|smith & wollensky|212-753-1530||smith & wollensky 212-753-1530
1934|steakhouses|||steakhouses
1935|||142 w. 44th st.|142 w. 44th st.
1936|pen & pencil|212/682-8660||pen & pencil 212/682-8660
1937|||228 w. 47th st.|228 w. 47th st.
1938|||1110 third ave.|1110 third ave.
1939|asian|||asian
1940|nicola|213/485-0927||nicola 213/485-0927
1941|||11705 national blvd.|11705 national blvd.
1942|french bistro|||french bistro
1943|american (new)|||american (new)
1944|bacchanalia|404-365-0410||bacchanalia 404-365-0410
1945|ruth's chris|212/245-9600||ruth's chris 212/245-9600
1946|||61a seventh ave.|61a seventh ave.
1947|one if by land  tibs|212-228-0822||one if by land  tibs 212-228-0822
1948|||2355 peachtree rd. ne|2355 peachtree rd. ne
1949|middle eastern|||middle eastern
1950|french|||french
1951|||7371 melrose ave.|7371 melrose ave.
1952|sofi|213/651-0346||sofi 213/651-0346
1953|continental|||continental
1954|pano's & paul's|404-261-3662||pano's & paul's 404-261-3662
1955|||178 broadway|178 broadway
1956|szechuan hunan cottage|212-535-5223||szechuan hunan cottage 212-535-5223
1957|||255 courtland st.|255 courtland st.
1958|californian|||californian
1959|||311 w. 17th st.|311 w. 17th st.
1960|aja|212/473-8388||aja 212/473-8388
1961|italian|||italian
1962|||ghirardelli sq.|ghirardelli sq.
1963|southern|||southern
1964|hong kong flower lounge|415/668-8998||hong kong flower lounge 415/668-8998
1965|buzio's in the rio|702-252-7697||buzio's in the rio 702-252-7697
1966|luna si|404/355-5993||luna si 404/355-5993
1967|billy's|212/753-1870||billy's 212/753-1870
1968|steakhouses|||steakhouses
1969|||615 sacramento st.|615 sacramento st.
1970|italian|||italian
1971|macarthur park|415/398-5700||macarthur park 415/398-5700
1972|||1325 5th ave. at 111th st.|1325 5th ave. at 111th st.
1973|film center cafe|212/ 262-2525||film center cafe 212/ 262-2525
1974|south of france|404/325-6963||south of france 404/325-6963
1975|||303 peachtree st. ne|303 peachtree st. ne
1976|riviera|404-262-7112||riviera 404-262-7112
1977|||1652 stockton st.|1652 stockton st.
1978|continental|||continental
1979|||348 e. 62nd st.|348 e. 62nd st.
1980|cambodian|||cambodian
1981|gabriela's|212/961-0574||gabriela's 212/961-0574
1982|italian|||italian
1983|||70 w. crossville rd.|70 w. crossville rd.
1984|cha cha cha's|415-386-5758||cha cha cha's 415-386-5758
1985|||18 e. broadway at catherine st.|18 e. broadway at catherine st.
1986|coffee bar|||coffee bar
1987|il cortile|212/226-6060||il cortile 212/226-6060
1988|||1059 broxton ave.|1059 broxton ave.
1989|italian|||italian
1990|joe's|310-399-5811||joe's 310-399-5811
1991|american|||american
1992|marnee thai|415-665-9500||marnee thai 415-665-9500
1993|l'auberge du midi|212/242-4705||l'auberge du midi 212/242-4705
1994|||4000 colfax ave.|4000 colfax ave.
1995|american|||american
1996|main course  the|310-475-7564||main course  the 310-475-7564
1997|pacific rim|||pacific rim
1998|||32 w. 32nd st.|32 w. 32nd st.
1999|palio|212/245-4850||palio 212/245-4850
2000|eclectic|||eclectic
2001|||8474 w. third st.|8474 w. third st.
2002|asian|||asian
2003|palace court|702-731-7110||palace court 702-731-7110
2004|pink's famous chili dogs|213-931-4223||pink's famous chili dogs 213-931-4223
2005|||205 e. 45th st.|205 e. 45th st.
2006|red tulip|212/734-4893||red tulip 212/734-4893
2007|italian|||italian
2008|||111 s. san pedro st.|111 s. san pedro st.
2009|heera of india|404-876-4408||heera of india 404-876-4408
2010|french bistro|||french bistro
2011|uncle bill's pancake house|310-545-5177||uncle bill's pancake house 310-545-5177
2012|||148 w. 51st st.|148 w. 51st st.
2013|serendipity|212/838-3531||serendipity 212/838-3531
2014|||17 barrow st.|17 barrow st.
2015|sarabeth's|212-410-7335||sarabeth's 212-410-7335
2016|||490 e. paces ferry rd. ne|490 e. paces ferry rd. ne
2017|american|||american
2018|||9 jones st.|9 jones st.
2019|west beach cafe|310/823-5396||west beach cafe 310/823-5396
2020|american|||american
2021|boulevard|415-543-6084||boulevard 415-543-6084
2022|terrace|212/666-9490||terrace 212/666-9490
2023|||1588 york ave.|1588 york ave.
2024|||252 california st.|252 california st.
2025|wollensky's grill|212-753-0444||wollensky's grill 212-753-0444
2026|||321 w. 46th st.|321 w. 46th st.
2027|italian|||italian
2028|imperial fez|404/351-0870||imperial fez 404/351-0870
2029|american|||american
2030|au mandarin|212/385-0313||au mandarin 212/385-0313
2031|vegetarian|||vegetarian
2032|||5322 geary blvd.|5322 geary blvd.
2033|postrio|415-776-7825||postrio 415-776-7825
2034|||3700 w. flamingo rd.|3700 w. flamingo rd.
2035|italian|||italian
2036|moongate|702-791-7352||moongate 702-791-7352
2037|||1931 peachtree rd.|1931 peachtree rd.
2038|r.j.'s uptown kitchen & wine bar|404/875-7775||r.j.'s uptown kitchen & wine bar 404/875-7775
2039|american|||american
2040|c3|212/254-1200||c3 212/254-1200
2041|||1486 2nd ave.  between 77th and 78th sts.|1486 2nd ave.  between 77th and 78th sts.
2042|cuban|||cuban
2043|||607 front st.|607 front st.
2044|asian|||asian
2045|||635 9th ave.  between 44th and 45th sts.|635 9th ave.  between 44th and 45th sts.
2046|bistro  the|404-231-5733||bistro  the 404-231-5733
2047|||2345 cheshire bridge rd.|2345 cheshire bridge rd.
2048|battista's hole in the wall|702/732-1424||battista's hole in the wall 702/732-1424
2049|||519 e. paces ferry rd.|519 e. paces ferry rd.
2050|zab-e-lee|404-768-2705||zab-e-lee 404-768-2705
2051|old san francisco|||old san francisco
2052|||685 amsterdam ave. at 93rd st.|685 amsterdam ave. at 93rd st.
2053|french|||french
2054|hard rock cafe|212/489-6565||hard rock cafe 212/489-6565
2055|feast|702/367-2411||feast 702/367-2411
2056|||1805 haight st.|1805 haight st.
2057|american|||american
2058|kelly's on trinity|415-362-4454||kelly's on trinity 415-362-4454
2059|french|||french
2060|||125 mulberry st.  between canal and hester sts.|125 mulberry st.  between canal and hester sts.
2061|middle eastern|||middle eastern
2062|grill  the|310-276-0615||grill  the 310-276-0615
2063|jimmy sung's|212/682-5678||jimmy sung's 212/682-5678
2064|||1023 abbot kinney blvd.|1023 abbot kinney blvd.
2065|||2225 irving st.|2225 irving st.
2066|swan oyster depot|415-673-1101||swan oyster depot 415-673-1101
2067|||310 w. 4th st.  between w. 12th and bank sts.|310 w. 4th st.  between w. 12th and bank sts.
2068|french|||french
2069|le gamin|212/254-4678||le gamin 212/254-4678
2070|||10509 w. pico blvd.|10509 w. pico blvd.
2071|asian|||asian
2072|ocean park cafe|310-452-5728||ocean park cafe 310-452-5728
2073|||151 w. 51st. st.|151 w. 51st. st.
2074|perry's|415/922-9022||perry's 415/922-9022
2075|||709 n. la brea ave.|709 n. la brea ave.
2076|noodle shops|||noodle shops
2077|french (new)|||french (new)
2078|shiro|818-799-4774||shiro 818-799-4774
2079|||439 e. 75th st.|439 e. 75th st.
2080|sammy's roumanian steak house|212/673-0330||sammy's roumanian steak house 212/673-0330
2081|tadich grill|415/391-2373||tadich grill 415/391-2373
2082|cafeterias|||cafeterias
2083|american|||american
2084|||1305 highland ave.|1305 highland ave.
2085|eclectic|||eclectic
2086|ritz-carlton restaurant|404-659-0400||ritz-carlton restaurant 404-659-0400
2087|||3 225 e. 60th st.|3 225 e. 60th st.
2088|sweet'n'tart cafe|212/334-8088||sweet'n'tart cafe 212/334-8088
2089|||1295 madison ave.|1295 madison ave.
2090|||3434 peachtree rd. ne|3434 peachtree rd. ne
2091|american|||american
2092|||222 e. 58th st.  between 2nd and 3rd aves.|222 e. 58th st.  between 2nd and 3rd aves.
2093|french|||french
2094|||9001 santa monica blvd.|9001 santa monica blvd.
2095|||648 bush st.|648 bush st.
2096|||400 w. 119th st.  between amsterdam and morningside aves.|400 w. 119th st.  between amsterdam and morningside aves.
2097|american|||american
2098|turkish kitchen|212/679-1810||turkish kitchen 212/679-1810
2099|la folie|415-776-5577||la folie 415-776-5577
2100|||205 e. 49th st.|205 e. 49th st.
2101|afghan|||afghan
2102|hugo's cellar|702-385-4011||hugo's cellar 702-385-4011
2103|||2285 peachtree rd.  peachtree battle condominium|2285 peachtree rd.  peachtree battle condominium
2104|carnegie deli|212-757-2245||carnegie deli 212-757-2245
2105|southern|||southern
2106|boonthai|212/249-8484||boonthai 212/249-8484
2107|italian|||italian
2108|||225 varick st. at clarkston st.|225 varick st. at clarkston st.
2109|asian|||asian
2110|||2450 broadway|2450 broadway
2111|broadway deli|310/451-0616||broadway deli 310/451-0616
2112|||4100 cahuenga blvd.|4100 cahuenga blvd.
2113|||3400 las vegas blvd. s.|3400 las vegas blvd. s.
2114|italian|||italian
2115|tre visi|702-891-7331||tre visi 702-891-7331
2116|||870 n. highland ave.|870 n. highland ave.
2117|taste of new orleans|404/874-5535||taste of new orleans 404/874-5535
2118|italian|||italian
2119|italian|||italian
2120|||56 e. andrews dr. nw|56 e. andrews dr. nw
2121|indian|||indian
2122|chops|404-262-2675||chops 404-262-2675
2123|||4041 audrie st. at flamingo rd.|4041 audrie st. at flamingo rd.
2124|capozzoli's|702/731-5311||capozzoli's 702/731-5311
2125|||4837 old national hwy.|4837 old national hwy.
2126|asian|||asian
2127|french|||french
2128|||221 w. 57th st.|221 w. 57th st.
2129|coffee bar|||coffee bar
2130|campanile|213-938-1447||campanile 213-938-1447
2131|||2411 w. sahara ave.|2411 w. sahara ave.
2132|pamplemousse|702/733-2066||pamplemousse 702/733-2066
2133|||333 bush st.|333 bush st.
2134|phnom penh cambodian restaurant|415-775-5979||phnom penh cambodian restaurant 415-775-5979
2135|steak houses|||steak houses
2136|||219 e. 44th st.  between 2nd and 3rd aves.|219 e. 44th st.  between 2nd and 3rd aves.
2137|coffee bar|||coffee bar
2138|lanza restaurant|212/674-7014||lanza restaurant 212/674-7014
2139|||1517 polk st.|1517 polk st.
2140|caffe dell'artista|212/645-4431||caffe dell'artista 212/645-4431
2141|asian|||asian
2142|oritalia|415/346-1333||oritalia 415/346-1333
2143|||50 macdougal st.  between houston and prince sts.|50 macdougal st.  between houston and prince sts.
2144|italian|||italian
2145|lola|212/675-6700||lola 212/675-6700
2146|||3117 ocean park blvd.|3117 ocean park blvd.
2147|french|||french
2148|american|||american
2149|||1944 union st.|1944 union st.
2150|french bistro|||french bistro
2151|stars|415/861-7827||stars 415/861-7827
2152|french|||french
2153|||1505 mission st. s.|1505 mission st. s.
2154|californian|||californian
2155|||157 chrystie st. at delancey st.|157 chrystie st. at delancey st.
2156|||240 california st.|240 california st.
2157|wu kong|415/957-9300||wu kong 415/957-9300
2158|american (new)|||american (new)
2159|indonesian|||indonesian
2160|||1972 hillhurst ave.|1972 hillhurst ave.
2161|||76 mott st. at canal st.|76 mott st. at canal st.
2162|coffee bar|||coffee bar
2163|trattoria dell'arte|212/245-9800||trattoria dell'arte 212/245-9800
2164|||570 fourth st.|570 fourth st.
2165|french bistro|||french bistro
2166|aquavit|212-307-7311||aquavit 212-307-7311
2167|caribbean|||caribbean
2168|mexican|||mexican
2169|||21 w. 52nd st.|21 w. 52nd st.
2170|west|212/246-6363||west 212/246-6363
2171|||386 3rd ave.  between 27th and 28th sts.|386 3rd ave.  between 27th and 28th sts.
2172|italian|||italian
2173|adriano's ristorante|310/475-9807||adriano's ristorante 310/475-9807
2174|||26025 pacific coast hwy.|26025 pacific coast hwy.
2175|||202 e. fremont st.|202 e. fremont st.
2176|diners|||diners
2177|island spice|212-765-1737||island spice 212-765-1737
2178|american|||american
2179|||42 e. 20th st.|42 e. 20th st.
2180|||3799 las vegas blvd. s.|3799 las vegas blvd. s.
2181|latin american|||latin american
2182|||9500 wilshire blvd.|9500 wilshire blvd.
2183|camille's|404/872-7203||camille's 404/872-7203
2184|chan dara|213/467-1052||chan dara 213/467-1052
2185|french (classic)|||french (classic)
2186|brookhaven cafe|404-231-5907||brookhaven cafe 404-231-5907
2187|||889 w. peachtree st.|889 w. peachtree st.
2188|american|||american
2189|||239 w. broadway|239 w. broadway
2190|cucina della fontana|212-242-0636||cucina della fontana 212-242-0636
2191|||70 w. paces ferry rd.|70 w. paces ferry rd.
2192|harry's bar & american grill|310/277-2333||harry's bar & american grill 310/277-2333
2193|pizza|||pizza
2194|havana sandwich shop|404-636-4094||havana sandwich shop 404-636-4094
2195|||3333 s. maryland pkwy.|3333 s. maryland pkwy.
2196|lillie langtry's|702/385-7111||lillie langtry's 702/385-7111
2197|mexican|||mexican
2198|old san francisco|||old san francisco
2199|thai|||thai
2200|||400 e. sahara ave.|400 e. sahara ave.
2201|bardelli's|415/982-0243||bardelli's 415/982-0243
2202|||631 larkin st.|631 larkin st.
2203|cafe luxembourg|212/873-7411||cafe luxembourg 212/873-7411
2204|steak houses|||steak houses
2205|||168 1st ave.  between 10th and 11th sts.|168 1st ave.  between 10th and 11th sts.
2206|mexican|||mexican
2207|le marais|212/869-0900||le marais 212/869-0900
2208|fusion|||fusion
2209|des alpes|415/788-9900||des alpes 415/788-9900
2210|||46 greenwich ave.|46 greenwich ave.
2211|diners|||diners
2212|casa la femme|212/505-0005||casa la femme 212/505-0005
2213|||1915 fillmore st.|1915 fillmore st.
2214|vegetarian|||vegetarian
2215|||30 west 22nd st.  between 5th and 6th ave.|30 west 22nd st.  between 5th and 6th ave.
2216|seafood|||seafood
2217|||6703 melrose ave.|6703 melrose ave.
2218|tex-mex|||tex-mex
2219|dix et sept|212/645-8023||dix et sept 212/645-8023
2220|||150 redwood alley|150 redwood alley
2221|ton kiang|415/752-4440||ton kiang 415/752-4440
2222|californian|||californian
2223|american|||american
2224|coffee shops|||coffee shops
2225|japanese|||japanese
2226|||101 spear st.|101 spear st.
2227|italian|||italian
2228|asahi ramen|310-479-2231||asahi ramen 310-479-2231
2229|american|||american
2230|||900 7th ave.  between 56th and 57th sts.|900 7th ave.  between 56th and 57th sts.
2231|american|||american
2232|verbena|212/260-5454||verbena 212/260-5454
2233|dawat|212-355-7555||dawat 212-355-7555
2234|american (new)|||american (new)
2235|chez melange|310-540-1222||chez melange 310-540-1222
2236|californian|||californian
2237|||20 e. 76th st.|20 e. 76th st.
2238|||63rd street steakhouse 44 w. 63rd st.|63rd street steakhouse 44 w. 63rd st.
2239|french|||french
2240|||419 n. fairfax ave.|419 n. fairfax ave.
2241|atlanta fish market|404/262-3165||atlanta fish market 404/262-3165
2242|cafe pinot|213/239-6500||cafe pinot 213/239-6500
2243|japanese|||japanese
2244|manhattan ocean club|212-371-7777||manhattan ocean club 212-371-7777
2245|monkey bar|212/838-2600||monkey bar 212/838-2600
2246|||249 e. 50th st.|249 e. 50th st.
2247|afghan kebab house|212-307-1612||afghan kebab house 212-307-1612
2248|||4274 peachtree rd.|4274 peachtree rd.
2249|||1186 n. highland ave.|1186 n. highland ave.
2250|mexican|||mexican
2251|||2424 main st.|2424 main st.
2252|french quarter food shop|404/875-2489||french quarter food shop 404/875-2489
2253|ed debevic's|310/659-1952||ed debevic's 310/659-1952
2254|japanese|||japanese
2255|eats|404-888-9149||eats 404-888-9149
