id|title|starring|writer|editor|aggregate value
22513|Russian Ark|Sergei Dontsov|Anatoli Nikiforov||Russian Ark Sergei Dontsov Anatoli Nikiforov
22514||Cecil Parker|Frank Harvey Jr.||Cecil Parker Frank Harvey Jr.
22515|20 centimetros|Miguel O'Dogherty|Ram?n Salazar||20 centimetros Miguel O'Dogherty Ram?n Salazar
22516||Will Hay|Val Guest||Will Hay Val Guest
22517|Stargate: The Ark of Truth|#Cast|Robert C. Cooper||Stargate: The Ark of Truth #Cast Robert C. Cooper
22518|The Crane|David Schofield (actor)|Phil O'Shea||The Crane David Schofield (actor) Phil O'Shea
22519|Cookie's Fortune|Glenn Close|Anne Rapp||Cookie's Fortune Glenn Close Anne Rapp
22520||Fernando Casado D'Arambillet|Louise de Vilmorin||Fernando Casado D'Arambillet Louise de Vilmorin
22521|The Daring Years|Charles Emmett Mack|Daniel Carson Goodman||The Daring Years Charles Emmett Mack Daniel Carson Goodman
22522||Sharon Carr|David F. Friedman||Sharon Carr David F. Friedman
22523|8mm|Nicholas Kim Coppola|Andrew Kevin Walker||8mm Nicholas Kim Coppola Andrew Kevin Walker
22524||Georges Treville|||Georges Treville
22525|Goodbye Again|Ivo Livi, born of Catholic peasants in Italy|Fran?oise Sagan||Goodbye Again Ivo Livi, born of Catholic peasants in Italy Fran?oise Sagan
22526|Good Day for a Hanging|Fredrick Martin MacMurray|John Reese||Good Day for a Hanging Fredrick Martin MacMurray John Reese
22527|The Loves of Carmen|Gwyllyn Samuel Newton Ford|||The Loves of Carmen Gwyllyn Samuel Newton Ford
22528|Sugarfoot|Raymond Hart Massey|Clarence Budington Kelland||Sugarfoot Raymond Hart Massey Clarence Budington Kelland
22529||Ayse Tezel, Patrick Magee, Peter Astridge|Martin Simpson||Ayse Tezel, Patrick Magee, Peter Astridge Martin Simpson
22530|Till the End of Time|Dorothy Hackett McGuire|Niven Busch||Till the End of Time Dorothy Hackett McGuire Niven Busch
22531||Steven Robert Guttenberg|David Saperstein||Steven Robert Guttenberg David Saperstein
22532||Jerzy Dobrowolski|Stanis?aw Bareja||Jerzy Dobrowolski Stanis?aw Bareja
22533|Red State||Michael Shea||Red State  Michael Shea
22534|The Astronaut Farmer|Billy Bob Thornton|Mark Polish Michael Polish||The Astronaut Farmer Billy Bob Thornton Mark Polish Michael Polish
22535|In Transit|Thomas Kretschmann|Natalia Portnova Simon van der Borgh||In Transit Thomas Kretschmann Natalia Portnova Simon van der Borgh
22536||LL Cool J|William Oliver Stone||LL Cool J William Oliver Stone
22537|Swathi Kiranam|Radhika|Dr.K.Viswanath||Swathi Kiranam Radhika Dr.K.Viswanath
22538||Spede Pasanen|||Spede Pasanen
22539||Elvira Lindo|Elvira Lindo||Elvira Lindo Elvira Lindo
22540|Black Sheep|Christopher Crosby Farley|Fred Wolf||Black Sheep Christopher Crosby Farley Fred Wolf
22541||Firangiz Rahimbeyova|Vagif Samadoghlu||Firangiz Rahimbeyova Vagif Samadoghlu
22542||Bruce Kellogg|Millard Kaufman||Bruce Kellogg Millard Kaufman
22543|The Wolf Song|Lupe Velez|Harvey Ferguson||The Wolf Song Lupe Velez Harvey Ferguson
22544|Cotton Comes to Harlem|Bert Cooper|Raiford Chatman Davis||Cotton Comes to Harlem Bert Cooper Raiford Chatman Davis
22545|The Sacrifice|Allan Edwall|Andrei Tarkovsky||The Sacrifice Allan Edwall Andrei Tarkovsky
22546||Alexis Dziena|T.J. Petty||Alexis Dziena T.J. Petty
22547|Rain|Aaron Murphy|Christine Jeffs||Rain Aaron Murphy Christine Jeffs
22548||Julie Gibson|||Julie Gibson
22549||Edna Best|A.A. Milne||Edna Best A.A. Milne
22550||Sawa Suzuki|Kiyoshi Kurosawa||Sawa Suzuki Kiyoshi Kurosawa
22551||Bibbo|Waheed Murad||Bibbo Waheed Murad
22552|Laws of Attraction|Michael Sheen|||Laws of Attraction Michael Sheen
22553||Delia Garc?s|Alexandre Bisson||Delia Garc?s Alexandre Bisson
22554|Benefit of the Doubt|Peter Brook|||Benefit of the Doubt Peter Brook
22555||Harald Schrott|||Harald Schrott
22556|The Secret of NIMH|Arthur Malet|Gary Goldman||The Secret of NIMH Arthur Malet Gary Goldman
22557||Joseph Cheshire Cotten|Aureliano Luppi||Joseph Cheshire Cotten Aureliano Luppi
22558||Mike Farrell|Brian Cruver||Mike Farrell Brian Cruver
22559||Michel Piccoli|Jean-Claude Carri?re||Michel Piccoli Jean-Claude Carri?re
22560|La peli|Norman Briski|Gustavo Postiglione||La peli Norman Briski Gustavo Postiglione
22561||Humphrey DeForest Bogart|Jonathan Finn||Humphrey DeForest Bogart Jonathan Finn
22562|Black Narcissus|Jean Merilyn Simmons|Michael Powell Emeric Pressburger||Black Narcissus Jean Merilyn Simmons Michael Powell Emeric Pressburger
22563||Lew Davis|Clyde Bruckman||Lew Davis Clyde Bruckman
22564||Amrita Singh|||Amrita Singh
22565|Great Balls of Fire!|John Doe (musician)|Screenplay: Jack Baran Jim McBride Story: Myra Lewis Murray M. Silver Jr.||Great Balls of Fire! John Doe (musician) Screenplay: Jack Baran Jim McBride Story: Myra Lewis Murray M. Silver Jr.
22566||Bhavana (actress)|||Bhavana (actress)
22567||Sarika|Harikishen Goswami||Sarika Harikishen Goswami
22568||Daniel John Dyer|Dominic Eames||Daniel John Dyer Dominic Eames
22569|The Man from Earth|John Billingsley|Jerome Bixby||The Man from Earth John Billingsley Jerome Bixby
22570||Yusuf Khan|Ramanand Sagar||Yusuf Khan Ramanand Sagar
22571||Zuzana Vejvodov?|Petr Ka?ka||Zuzana Vejvodov? Petr Ka?ka
22572||Zsuzsa Czink?czi|Judit Elek||Zsuzsa Czink?czi Judit Elek
22573|Red Cherry|Guo Ke-Yu|Jiang Qitao||Red Cherry Guo Ke-Yu Jiang Qitao
22574|The Punisher Movies|Louis Cameron Gossett, Jr.|Robert Mark Kamen||The Punisher Movies Louis Cameron Gossett, Jr. Robert Mark Kamen
22575|They Met in Bombay|William Clark Gable|John H. Kafka||They Met in Bombay William Clark Gable John H. Kafka
22576||Sherin Shringar|Sujatha||Sherin Shringar Sujatha
22577|Torch Singer|Ricardo Cortez|Grace Perkins||Torch Singer Ricardo Cortez Grace Perkins
22578|Stolen Moments|Rodolfo Alfonzo Raffaelo Pierre Filibert Guglielmi di Valentina d'Antonguolla|||Stolen Moments Rodolfo Alfonzo Raffaelo Pierre Filibert Guglielmi di Valentina d'Antonguolla
22579||Dudley Dickerson|Charles L. Kimball||Dudley Dickerson Charles L. Kimball
22580||Gwyneth Kate Paltrow|Jonathan Darby Jane Rusconi||Gwyneth Kate Paltrow Jonathan Darby Jane Rusconi
22581||Mark Long, Jack Long, Corey Yuen, Lee Yi Min|Yao Ching Kang, Joseph Kuo, Raymond To||Mark Long, Jack Long, Corey Yuen, Lee Yi Min Yao Ching Kang, Joseph Kuo, Raymond To
22582||Maia Campbell|Gary Hardwick||Maia Campbell Gary Hardwick
22583||Dharam Pishorimal Anand|||Dharam Pishorimal Anand
22584||Wallace Fitzgerald Beery|||Wallace Fitzgerald Beery
22585||Rao Gopal Rao|K. Raghavendra Rao||Rao Gopal Rao K. Raghavendra Rao
22586|The House on Skull Mountain|Jo Marie Mary J. Todd McKenzie|||The House on Skull Mountain Jo Marie Mary J. Todd McKenzie
22587||Masaki Terasoma|Yasuko Kobayashi||Masaki Terasoma Yasuko Kobayashi
22588|The Boy with a Thorn in His Side|Alec Sedgley|Mark Jeavons||The Boy with a Thorn in His Side Alec Sedgley Mark Jeavons
22589||Simple Kapadia|Dr. Rahi Masoom Reza||Simple Kapadia Dr. Rahi Masoom Reza
22590||Miles O'Keeffe|Alfonso Brescia||Miles O'Keeffe Alfonso Brescia
22591|Genie Award for Best Motion Picture|Elias Koteas|Atom Yeghoyan||Genie Award for Best Motion Picture Elias Koteas Atom Yeghoyan
22592|Contra Conspiracy|Blake Bahner Robert Beal Tom Mahler Duncan Savage Vickie Stephenson|Thomas Dewier Mark Robles||Contra Conspiracy Blake Bahner Robert Beal Tom Mahler Duncan Savage Vickie Stephenson Thomas Dewier Mark Robles
22593|Behind the Lines|Henry DeWitt Carey II|Walter Woods||Behind the Lines Henry DeWitt Carey II Walter Woods
22594|Ethel's Romeos|Fayette Perry|||Ethel's Romeos Fayette Perry
22595|Sofrer Para Gozar||Vittorio Verga||Sofrer Para Gozar  Vittorio Verga
22596|Beautiful Girls|Michael David Rapaport|Scott Rosenberg||Beautiful Girls Michael David Rapaport Scott Rosenberg
22597||Mark Houghton|Hubert Selby Jr.||Mark Houghton Hubert Selby Jr.
22598|The Preacher's Wife|Whitney Houston|Allan Scott (screenwriter)||The Preacher's Wife Whitney Houston Allan Scott (screenwriter)
22599|||Paul Le Saux||Paul Le Saux
22600|Face/Off|John Joseph Travolta|Mike Werb||Face/Off John Joseph Travolta Mike Werb
22601|Palindromes|Matthew Faber|Todd Solondz||Palindromes Matthew Faber Todd Solondz
22602||Ana Kristina Gasteyer|Britta Sjogren||Ana Kristina Gasteyer Britta Sjogren
22603|The Assassination of Jesse James by the Coward Robert Ford|Sam Shepard|Ron Hansen (novelist)||The Assassination of Jesse James by the Coward Robert Ford Sam Shepard Ron Hansen (novelist)
22604|Billy Liar|Julie Frances Christie|Keith Waterhouse||Billy Liar Julie Frances Christie Keith Waterhouse
22605|Dead Man's Letters|Iosif Ryklin|Vyacheslav Rybakov||Dead Man's Letters Iosif Ryklin Vyacheslav Rybakov
22606||Harry Lauter|David Lang Charles A. Lockwood Hans Christian Adamson Raymond Marcus Bernard Gordon||Harry Lauter David Lang Charles A. Lockwood Hans Christian Adamson Raymond Marcus Bernard Gordon
22607||Allu Ramalingaiah|Satyanand||Allu Ramalingaiah Satyanand
22608|Grandma's Reading Glass||||Grandma's Reading Glass
22609||Amir Farrokh Hashemian|Majid Majidi||Amir Farrokh Hashemian Majid Majidi
22610||Phyllis Kirk|Jonathan Latimer||Phyllis Kirk Jonathan Latimer
22611|Skeleton Man|Casper Robert Van Dien, Jr.|Frederick Bailey||Skeleton Man Casper Robert Van Dien, Jr. Frederick Bailey
22612||Mitch Hedberg|Mitch Hedberg||Mitch Hedberg Mitch Hedberg
22613||Matthias Fuchs|Catharina Zwerenz||Matthias Fuchs Catharina Zwerenz
22614||Pearl White|George B. Seitz||Pearl White George B. Seitz
22615||Clarence J. Brown III|John Frederick Milius||Clarence J. Brown III John Frederick Milius
22616|Pasivadi Pranam|Konidela Siva Sankara Vara Prasad|Fazil||Pasivadi Pranam Konidela Siva Sankara Vara Prasad Fazil
22617||Charles Douville Coburn|Robert Russell||Charles Douville Coburn Robert Russell
22618||Dixie Kay Nelson|William Alland (story) Martin Berkeley||Dixie Kay Nelson William Alland (story) Martin Berkeley
22619|Track of the Cat|Muriel Teresa Wright|A.I. Bezzerides||Track of the Cat Muriel Teresa Wright A.I. Bezzerides
22620|Celebration Family|Stephanie Zimbalist|||Celebration Family Stephanie Zimbalist
22621||Poonam Dhillon|||Poonam Dhillon
22622||Barbara Cupisti|Sheila Goldberg||Barbara Cupisti Sheila Goldberg
22623||Jack Roberton|Talbot Rothwell||Jack Roberton Talbot Rothwell
22624|Serial (film)||||Serial (film)
22625||Parveen Dastur|||Parveen Dastur
22626|No. 2|Ruby Ann Wallace|Toa Fraser||No. 2 Ruby Ann Wallace Toa Fraser
22627||Donald McNichol Sutherland|Robert Dillon||Donald McNichol Sutherland Robert Dillon
22628|Contact|Alicia Christian Foster|James V. Hart||Contact Alicia Christian Foster James V. Hart
22629||Y?ko Tsukasa|Kenro Mats?ra||Y?ko Tsukasa Kenro Mats?ra
22630|Epoch|Brian Thompson|Jonathan Raymond||Epoch Brian Thompson Jonathan Raymond
22631|Turbo: A Power Rangers Movie|Mike Deak|Shell Danielson||Turbo: A Power Rangers Movie Mike Deak Shell Danielson
22632||Virginia Pound|Clyde Bruckman||Virginia Pound Clyde Bruckman
22633|Three Colors: White|Julie Delpy|Krzysztof Piesiewicz||Three Colors: White Julie Delpy Krzysztof Piesiewicz
22634|They Shoot Horses, Don't They?|Lady Jayne Seymour Fonda|Robert E. Thompson||They Shoot Horses, Don't They? Lady Jayne Seymour Fonda Robert E. Thompson
22635|The Land Before Time VII: The Stone of Cold Fire|Miriam Flynn|Len Uhley||The Land Before Time VII: The Stone of Cold Fire Miriam Flynn Len Uhley
22636|Jury Prize (Cannes Film Festival)|Lili Darvas|Tibor D?ry||Jury Prize (Cannes Film Festival) Lili Darvas Tibor D?ry
22637|White Water Summer|Sean Patrick Duke|Manya Starr||White Water Summer Sean Patrick Duke Manya Starr
22638||Tomomi Miyashita|||Tomomi Miyashita
22639||Jared Leto|J. P. Schaefer||Jared Leto J. P. Schaefer
22640|Bully|Nicolas Kent Stahl|Jim Schutze (novel) Zachary Lang||Bully Nicolas Kent Stahl Jim Schutze (novel) Zachary Lang
22641|Sabrina|Humphrey DeForest Bogart|Ernest Lehman||Sabrina Humphrey DeForest Bogart Ernest Lehman
22642|Living & Dying|Edward Walter Furlong|Jon Keeyes||Living & Dying Edward Walter Furlong Jon Keeyes
22643|Jacknife|Edward Allen Harris|Stephen Metcalfe||Jacknife Edward Allen Harris Stephen Metcalfe
22644|Savior|Nastassja Aglaia Nakszyu0144ski|Robert Orr||Savior Nastassja Aglaia Nakszyu0144ski Robert Orr
22645|3 Ninjas|Michael Treanor|Kenny Kim||3 Ninjas Michael Treanor Kenny Kim
22646|Filmfare Best Movie Award|Karishma Kapoor|Robin Bhatt||Filmfare Best Movie Award Karishma Kapoor Robin Bhatt
22647||Hannah Dakota Fanning|||Hannah Dakota Fanning
22648||Hell Rell|Cameron Giles||Hell Rell Cameron Giles
22649||Joseph Provenzano|||Joseph Provenzano
22650||Roger George Moore|Jean-Claude Camille Franu00E7ois Van Varenberg||Roger George Moore Jean-Claude Camille Franu00E7ois Van Varenberg
22651||Rena Owen|Alan Duff||Rena Owen Alan Duff
22652|Deep Shock|David Lemuel Keith|Jeff Rank||Deep Shock David Lemuel Keith Jeff Rank
22653|A Wrinkle in Time (TV) (mini)|Alison Elliott|Madeleine L'Engle||A Wrinkle in Time (TV) (mini) Alison Elliott Madeleine L'Engle
22654|Pump Up the Volume|Samantha Mathis|Allan Moyle||Pump Up the Volume Samantha Mathis Allan Moyle
22655||Miranda Taylor Cosgrove|||Miranda Taylor Cosgrove
22656|Zhen xin hua|Cheng Pei-pei|Tung-Shing Yee||Zhen xin hua Cheng Pei-pei Tung-Shing Yee
22657||Helen (actress)|||Helen (actress)
22658||Paul Douglas (actor)|Clifford Odets||Paul Douglas (actor) Clifford Odets
22659|Anji|Konidela Siva Sankara Vara Prasad|Satyanand||Anji Konidela Siva Sankara Vara Prasad Satyanand
22660|The Princess of New York|David Powell|Cosmo Hamilton||The Princess of New York David Powell Cosmo Hamilton
22661|Bangkok Hilton|Hugo Wallace Weaving|Ken Cameron||Bangkok Hilton Hugo Wallace Weaving Ken Cameron
22662||Peter Weller|Darrel James Roodt||Peter Weller Darrel James Roodt
22663||William Davis Garwood Jr.|||William Davis Garwood Jr.
22664||Lon McCallister|George Agnew Chamberlain (novel) Delmer Daves||Lon McCallister George Agnew Chamberlain (novel) Delmer Daves
22665||Brian Hooks|DJ Pooh||Brian Hooks DJ Pooh
22666|Serial (film)|Henry DeWitt Carey II|Wyndham Gittens Ford Beebe Helmer Walton Bergman||Serial (film) Henry DeWitt Carey II Wyndham Gittens Ford Beebe Helmer Walton Bergman
22667||Amrita Singh|Salim Khan||Amrita Singh Salim Khan
22668|Life is Ruff|Stephanie Kay Panabaker|Eddie Guzelian||Life is Ruff Stephanie Kay Panabaker Eddie Guzelian
22669||Anthony Quayle|Sherman Yellen||Anthony Quayle Sherman Yellen
22670|Field of Dreams|Raymond Liotta|W.P. Kinsella||Field of Dreams Raymond Liotta W.P. Kinsella
22671|Clubland|Brenda Ann Bottle|Keith Thompson||Clubland Brenda Ann Bottle Keith Thompson
22672|The Constant Gardener|Packson Ngugi|John le Carr?||The Constant Gardener Packson Ngugi John le Carr?
22673|BAFTA Award for Best Film|Nigel Patrick|Janet Green (writer)||BAFTA Award for Best Film Nigel Patrick Janet Green (writer)
22674||Mahmoud el-Meliguy|Youssef Chahine Fairouz Abdel Malek||Mahmoud el-Meliguy Youssef Chahine Fairouz Abdel Malek
22675|Academy Award for Best Foreign Language Film|Jean Gabin|Alfredo Guarini||Academy Award for Best Foreign Language Film Jean Gabin Alfredo Guarini
22676|The Flight of the Eagle|Nils Strindberg|Ian Rakoff||The Flight of the Eagle Nils Strindberg Ian Rakoff
22677|The Street Fighter|Sadaho Maeda|Ku00F4ji Takada Motohiro Torii||The Street Fighter Sadaho Maeda Ku00F4ji Takada Motohiro Torii
22678|The Spiderwick Chronicles|Mary-Louise Parker|Karey Kirkpatrick||The Spiderwick Chronicles Mary-Louise Parker Karey Kirkpatrick
22679||Aftab Shivdasani|Priyadarshan||Aftab Shivdasani Priyadarshan
22680||Madeline Kahn|Alan Alda||Madeline Kahn Alan Alda
22681|Busted Hearts|Walter Stull|||Busted Hearts Walter Stull
22682|Cyborg 3: The Recycler|Khrystyne Kamil Haje|Barry Victor Troy Bolotnick Straw Weisman||Cyborg 3: The Recycler Khrystyne Kamil Haje Barry Victor Troy Bolotnick Straw Weisman
22683|18-j||||18-j
22684|Chronique des annu00E9es de braise|Mohammed Lakhdar-Hamina|Tewfik Fares||Chronique des annu00E9es de braise Mohammed Lakhdar-Hamina Tewfik Fares
22685||Eric Salter Balfour|Scott Kosar||Eric Salter Balfour Scott Kosar
22686||Pamela Tola|Elmer B?ck||Pamela Tola Elmer B?ck
22687|Haute Tension|C?cile de France|Alexandre Aja||Haute Tension C?cile de France Alexandre Aja
22688|||Steve York||Steve York
22689||Otto Ludwig Preminger|Edwin Blum||Otto Ludwig Preminger Edwin Blum
22690|Go West|Chico Marx|Irving Brecher||Go West Chico Marx Irving Brecher
22691|The Hairdresser's Husband|Jean Rochefort|Patrice Leconte||The Hairdresser's Husband Jean Rochefort Patrice Leconte
22692||Nick Heyman|Joseph Mazzello III||Nick Heyman Joseph Mazzello III
22693|Cherry 2000|Joseph Timothy Thomerson|Lloyd Fonvielle||Cherry 2000 Joseph Timothy Thomerson Lloyd Fonvielle
22694|Riding High|Mary Leta Dorothy Slaton|Art Arthur Walter DeLeon James Montgomery Ready Money Arthur Phillips||Riding High Mary Leta Dorothy Slaton Art Arthur Walter DeLeon James Montgomery Ready Money Arthur Phillips
22695|Tripping with Caveh|Caveh Zahedi|||Tripping with Caveh Caveh Zahedi
22696|The People That Time Forgot|Patrick Wayne|Patrick Tilley||The People That Time Forgot Patrick Wayne Patrick Tilley
22697|Much Ado About Nothing|Emma Thompson|William Shakespeare||Much Ado About Nothing Emma Thompson William Shakespeare
22698||Bruce Liang|||Bruce Liang
22699|Les amitiu00E9s particuliu00E8res|Didier Haudepin|Jean Aurenche||Les amitiu00E9s particuliu00E8res Didier Haudepin Jean Aurenche
22700||Don McKellar|Thom Fitzgerald||Don McKellar Thom Fitzgerald
22701||Suhasini|||Suhasini
22702|Eye of the Beholder|Ewan McGregor|Stephan Elliott||Eye of the Beholder Ewan McGregor Stephan Elliott
22703|Coffy|Allan Arbus|Jack Hill||Coffy Allan Arbus Jack Hill
22704||David Gahan|Depeche Mode||David Gahan Depeche Mode
22705|Viskningar och rop|Erland Josephson|Ingmar Bergman||Viskningar och rop Erland Josephson Ingmar Bergman
22706||Marta Etura|Daniel Su00E1nchez Aru00E9valo||Marta Etura Daniel Su00E1nchez Aru00E9valo
22707|For Love or Money|Gabrielle Anwar|||For Love or Money Gabrielle Anwar
22708|The Rescuers|Bob Newhart|Ken Anderson (movie writer)||The Rescuers Bob Newhart Ken Anderson (movie writer)
22709|Cowboy|Gwyllyn Samuel Newton Ford|Dalton Trumbo||Cowboy Gwyllyn Samuel Newton Ford Dalton Trumbo
22710|The Good Son|Macaulay Carson Culkin|Ian McEwan||The Good Son Macaulay Carson Culkin Ian McEwan
22711|Diary of a Hitman|Sheryl Ann Fenn|Kenneth Pressman||Diary of a Hitman Sheryl Ann Fenn Kenneth Pressman
22712||Junko Iwao|Yoshikazu Takeuchi||Junko Iwao Yoshikazu Takeuchi
22713|Ice Age|Raymond Romano|Michael J. Wilson Michael Berg||Ice Age Raymond Romano Michael J. Wilson Michael Berg
22714|Tezaab|Madhuri Shankar Dixit|N. Chandra||Tezaab Madhuri Shankar Dixit N. Chandra
22715|Madison|Bruce MacLeish Dern|William Bindley||Madison Bruce MacLeish Dern William Bindley
22716||Hilary Duff|Sam Harper||Hilary Duff Sam Harper
22717|The Astronaut's Wife|John Christopher Depp II|Rand Ravich||The Astronaut's Wife John Christopher Depp II Rand Ravich
22718|Spacehunter: Adventures in the Forbidden Zone|Ernie Hudson|Stewart Harding||Spacehunter: Adventures in the Forbidden Zone Ernie Hudson Stewart Harding
22719|The Plainsman|Gladys Georgianna Greene|Courtney Ryley Cooper||The Plainsman Gladys Georgianna Greene Courtney Ryley Cooper
22720|Kidnapped|Michael Caine|Jack Pulman||Kidnapped Michael Caine Jack Pulman
22721|Chilly Dogs|Richard Michael Mayall|William Osbourne||Chilly Dogs Richard Michael Mayall William Osbourne
22722||Ernst Carlton Brimmer|Elizabeth Pickett||Ernst Carlton Brimmer Elizabeth Pickett
22723|Mass|Akkineni Nagarjuna Rao|Paruchuri Brothers||Mass Akkineni Nagarjuna Rao Paruchuri Brothers
22724|Camille Claudel|Gu00E9rard Xavier Marcel Depardieu|Marilyn Goldin||Camille Claudel Gu00E9rard Xavier Marcel Depardieu Marilyn Goldin
22725|Bastards of the Party||||Bastards of the Party
22726|BAFTA Award for Best Film|Helena Bonham Carter|Mark Burton (writer)||BAFTA Award for Best Film Helena Bonham Carter Mark Burton (writer)
22727||Le The Lu|Stephane Gauger||Le The Lu Stephane Gauger
22728||Dana Vespoli|||Dana Vespoli
22729|From Soup to Nuts|Buddy the Dog|H.M. Walker||From Soup to Nuts Buddy the Dog H.M. Walker
22730||Kielo Tommila|Ismo Sajakorpi||Kielo Tommila Ismo Sajakorpi
22731||Elena Guido|Leopoldo Torres R?os||Elena Guido Leopoldo Torres R?os
22732||Shanty (actress)|Nan Achnas||Shanty (actress) Nan Achnas
22733|Tad's Swimming Hole|Ernest Butterworth|Judge Willis Brown||Tad's Swimming Hole Ernest Butterworth Judge Willis Brown
22734|Down and Out in Beverly Hills|Bette Midler|Leon Capetanos||Down and Out in Beverly Hills Bette Midler Leon Capetanos
22735||Barbara Hale|Sidney Buchman||Barbara Hale Sidney Buchman
22736||Sam Huntington|Carl V. Dupru00E9||Sam Huntington Carl V. Dupru00E9
22737|A Woman in the Ultimate|Lillian Diana Gish|William E. Wing||A Woman in the Ultimate Lillian Diana Gish William E. Wing
22738|The Time Machine|Sebastian Cabot (actor)|H. G. Wells||The Time Machine Sebastian Cabot (actor) H. G. Wells
22739|||Chisato Oogawara (screenplay) Kenji Otsuki (novel)||Chisato Oogawara (screenplay) Kenji Otsuki (novel)
22740||Rob van Vuuren, Brendan Jack|Ronnie Apteker, Brendan Jack||Rob van Vuuren, Brendan Jack Ronnie Apteker, Brendan Jack
22741|The Burglar's Dilemma|Lionel Herbert Blythe|Lionel Herbert Blythe||The Burglar's Dilemma Lionel Herbert Blythe Lionel Herbert Blythe
22742|Oh, What a Lovely Tea Party|Various actors|||Oh, What a Lovely Tea Party Various actors
22743||Myrna Adele Williams|||Myrna Adele Williams
22744|Won by a Neck|Lloyd Hamilton|Walter DeLeon||Won by a Neck Lloyd Hamilton Walter DeLeon
22745||Mabel Normand|||Mabel Normand
22746|9 songs|Margo Stilley|Michael Winterbottom||9 songs Margo Stilley Michael Winterbottom
22747|Flash Gordon|Ornella Muti|Alex Raymond||Flash Gordon Ornella Muti Alex Raymond
22748||Gladys Louise Smith|Winifred Dunn, story||Gladys Louise Smith Winifred Dunn, story
22749|11:14|Clark Gregg|Greg Marcks||11:14 Clark Gregg Greg Marcks
22750|Shikoku|Chiaki Kuriyama|Takenori Sento||Shikoku Chiaki Kuriyama Takenori Sento
22751|Jabberwocky|Warren Misel|Charles Alverson||Jabberwocky Warren Misel Charles Alverson
22752||Robert Young|Ivan Goff||Robert Young Ivan Goff
22753||Faten Ahmed Hamama|Zaki Saleh||Faten Ahmed Hamama Zaki Saleh
22754|Serial (film)|Don Douglas|George H. Plympton||Serial (film) Don Douglas George H. Plympton
22755|The Other Sister|Thomas Roy Skerritt|||The Other Sister Thomas Roy Skerritt
22756|Palookaville|Vincent Gallo|||Palookaville Vincent Gallo
22757||Constance Campbell Bennett|||Constance Campbell Bennett
22758||Natasha Vale|||Natasha Vale
22759|Just Married|Esha Deol|Meghna Gulzar||Just Married Esha Deol Meghna Gulzar
22760||Cleo Madison|||Cleo Madison
22761|Lying Lips|Edna Mae Harris|Oscar Micheaux||Lying Lips Edna Mae Harris Oscar Micheaux
22762|||Robert Moreland (author)||Robert Moreland (author)
22763|Ironweed|Carroll Baker|William Kennedy||Ironweed Carroll Baker William Kennedy
22764|The Crazy Clock Maker|Billy Bowers|||The Crazy Clock Maker Billy Bowers
22765|Monsters vs. Aliens||||Monsters vs. Aliens
22766|The Notorious Bettie Page|Jared Harris|Mary Harron||The Notorious Bettie Page Jared Harris Mary Harron
22767|Tristan & Isolde|James Edward Franco|Dean Georgaris||Tristan & Isolde James Edward Franco Dean Georgaris
22768|On Broadway|Michael Donald O'Malley|Dave McLaughlin||On Broadway Michael Donald O'Malley Dave McLaughlin
22769|Me and My Pal|Oliver Hardy|||Me and My Pal Oliver Hardy
22770|Fast Getaway|Shelli Lether|James Dixon||Fast Getaway Shelli Lether James Dixon
22771|Premante Idera|Venkatesh|Jayant Paranji||Premante Idera Venkatesh Jayant Paranji
22772||Nora Louise Kuzma|Paul Hart-Wilden||Nora Louise Kuzma Paul Hart-Wilden
22773||Ruth Elizabeth Davis|||Ruth Elizabeth Davis
22774|Babes in Toyland|Tommy Sands|Ward Kimball||Babes in Toyland Tommy Sands Ward Kimball
22775|L'Innocente|Didier Haudepin|Luchino Visconti di Modrone||L'Innocente Didier Haudepin Luchino Visconti di Modrone
22776||Vijay Singh Deol|Tinnu Verma||Vijay Singh Deol Tinnu Verma
22777|Ultimate Avengers 2: Rise of the Panther|Jeffrey D. Sams|Greg Johnson||Ultimate Avengers 2: Rise of the Panther Jeffrey D. Sams Greg Johnson
22778||Diane Keen|Hunter Davies||Diane Keen Hunter Davies
22779|Andersonville|Frederic Forrest|David W. Rintels||Andersonville Frederic Forrest David W. Rintels
22780||Florence Desmond|Tom Geraghty   Fred Thompson   Walter Greenwood||Florence Desmond Tom Geraghty   Fred Thompson   Walter Greenwood
22781||Vincent Leonard Price, Jr.|||Vincent Leonard Price, Jr.
22782|A Mix Up In Hearts|Oliver Hardy|||A Mix Up In Hearts Oliver Hardy
22783|A Genius, Two Partners and a Dupe|Robert Charlebois|Damiano Damiani||A Genius, Two Partners and a Dupe Robert Charlebois Damiano Damiani
22784||Park Sang-myeon|Kim Moon-sung||Park Sang-myeon Kim Moon-sung
22785|Luke's Trolley Troubles|Harold Lloyd|||Luke's Trolley Troubles Harold Lloyd
22786||Tetsuji Tamayama|Tomoko Ogawa||Tetsuji Tamayama Tomoko Ogawa
22787|Monsieur Don't Care|Arthur Stanley Jefferson|Monte Brice Lew Lipton||Monsieur Don't Care Arthur Stanley Jefferson Monte Brice Lew Lipton
22788|The Toast of New York|Archibald Alec Leach|Bouck White||The Toast of New York Archibald Alec Leach Bouck White
22789|Tap Roots|Edythe Marrenner|James H. Street||Tap Roots Edythe Marrenner James H. Street
22790|Sandor slash Ida|Aliette Opheim|Sara Kadefors (novel)||Sandor slash Ida Aliette Opheim Sara Kadefors (novel)
