id|https://www.scads.de/movieBenchmark/ontology/title|https://www.scads.de/movieBenchmark/ontology/name|http://dbpedia.org/ontology/abstract|http://dbpedia.org/ontology/episodeNumber|http://dbpedia.org/ontology/seasonNumber|http://dbpedia.org/ontology/numberOfSeasons|http://dbpedia.org/ontology/numberOfEpisodes|http://dbpedia.org/ontology/birthDate|http://dbpedia.org/ontology/releaseDate|https://www.scads.de/movieBenchmark/ontology/last_air_date|https://www.scads.de/movieBenchmark/ontology/release_year|http://dbpedia.org/ontology/runtime|https://www.scads.de/movieBenchmark/ontology/genre_list|https://www.scads.de/movieBenchmark/ontology/origin_country|aggregate value
4657|The Glass Cage|||7|8||||1960-10-30||1960-01-01||||8 1960-10-30 7 1960-01-01 The Glass Cage
4658||Donald Douglas|||||||||||||2 Donald Douglas
4659||Seth Kurland|||||||||||||2 Seth Kurland Writing
4660||Larisa Khalafova|||||||||||||1 Larisa Khalafova
4661||Enric Arredondo|||||||||||||Enric Arredondo 0
4662||Pascal Chaumeil|||||||||||||Directing Pascal Chaumeil
4663||Henning Schl?ter|||||||||||||Henning Schl?ter 2
4664||Nozomi Ushijima|||||||||||||Nozomi Ushijima 0
4665|Too Hot|||6|1||||||||||6 1 Too Hot
4666|Casino Food Recycler||It's a glitzy Las Vegas premiere as Mike visits the Lance Burton Theater to clean up the pens for Lance's show doves and geese. Mike then gets really dirty by visiting a pig farmer and helping him process and transport yesterday's buffet leftovers to feed the pigs.|7|2||||2006-06-13||2006-01-01||||2 2006-06-13 It's a glitzy Las Vegas premiere as Mike visits the Lance Burton Theater to clean up the pens for Lance's show doves and geese. Mike then gets really dirty by visiting a pig farmer and helping him process and transport yesterday's buffet leftovers to feed the pigs. 7 Casino Food Recycler 2006-01-01
4667||Kay Reindl|||||||||||||Kay Reindl Writing
4668|El ?rbol Caminador|||25|6||||1999-06-24||1999-01-01||||6 El ?rbol Caminador 1999-01-01 25 1999-06-24
4669||Sender Films||||||||||||US|Sender Films productionCompany US
4670||Ma?wenn|||||||||||||1 Ma?wenn
4671|Game of the Year||A new reality show, GAME OF THE YEAR, is looking for the greatest warriors of role-play gaming to award the most epic bounty a gamer can imagine, running a game company for an entire year! Only one group in the country can win it all, so when Richard and his lifelong friends and fellow gamers decide to heed the call, they agree to have their lives filmed prior to the auditions to better exemplify to the show's producers just how mighty their skills and solidarity truly are.||||||2009-07-20||2009-01-01|83|||Are you ready to game? English en United States of America A new reality show, GAME OF THE YEAR, is looking for the greatest warriors of role-play gaming to award the most epic bounty a gamer can imagine, running a game company for an entire year! Only one group in the country can win it all, so when Richard and his lifelong friends and fellow gamers decide to heed the call, they agree to have their lives filmed prior to the auditions to better exemplify to the show's producers just how mighty their skills and solidarity truly are. 2009-07-20 Game of the Year Game of the Year 0 0 Released 2009-01-01 83
4672||Ranjit Mallick|||||||||||||Ranjit Mallick 0
4673|The Sissy|||23|1||||1961-02-19||1961-01-01||||1 23 1961-01-01 1961-02-19 The Sissy
4674|Cedar Log Peeler||Mike works on a fish processing boat in the Bering Sea and cleans out the fish grinder. Then he heads to the Rapid River Rustic Mill to lend a hand with debarking, peeling and processing wood for a cedar log cabin.|8|7||||2011-02-22||2011-01-01||||Mike works on a fish processing boat in the Bering Sea and cleans out the fish grinder. Then he heads to the Rapid River Rustic Mill to lend a hand with debarking, peeling and processing wood for a cedar log cabin. 8 2011-01-01 7 2011-02-22 Cedar Log Peeler
4675|Episodio 12|||12|1||||2003-01-24||2003-01-01||||1 2003-01-24 12 Episodio 12 2003-01-01
4676|Letter to Loretta: Turn of the Card|||5|1||||1953-10-18||1953-01-01||||1 Letter to Loretta: Turn of the Card 1953-01-01 1953-10-18 5
4677|Episode 22|||22|1||||2019-06-08||2019-01-01||||1 22 2019-06-08 Episode 22 2019-01-01
4678|Devil's Whisperer (2)|||11|1||||2017-02-25||2017-01-01||||2017-02-25 1 11 Devil's Whisperer (2) 2017-01-01
4679|Wordsworth 1770-1850||'Upon Westminster Bridge', 'Daffodils', 'A Slumber Did My Spirit Steal', and an extract from Book I of 'The Prelude' are among the poems read by Julian Glover; all were filmed in Wordsworth's native Lake District.|10|1||||1984-10-28||1984-01-01||||Wordsworth 1770-1850 1 1984-01-01 10 1984-10-28 'Upon Westminster Bridge', 'Daffodils', 'A Slumber Did My Spirit Steal', and an extract from Book I of 'The Prelude' are among the poems read by Julian Glover; all were filmed in Wordsworth's native Lake District.
4680||Pippa Haywood|||||||||||||Pippa Haywood 1
4681||Nicholas Shaffer|||||||||||||Nicholas Shaffer 2
4682||Christopher Rice|||||||||||||Christopher Rice 0
4683||Agn?s Guillemot|||||||||||||Agn?s Guillemot 0
4684|?????????|||31|1||||||||||????????? 31 1
4685|Episode 9|||9|1||||2015-08-03||2015-01-01||||2015-01-01 9 1 Episode 9 2015-08-03
4686|Chapter 28||Claire's U.N. bid runs into trouble. Frank fights off mutiny with a bold address to the country.|2|3||||2015-02-27||2015-01-01||||2015-01-01 2 Claire's U.N. bid runs into trouble. Frank fights off mutiny with a bold address to the country. Chapter 28 2015-02-27 3
4687||Mary Donahue|||||||||||||Mary Donahue 0
4688|The Doorbell Rang (2)||Archie gets a phone call from Dinky Byne, who is expected at a dinner party that night, given by his aunt in honor of four young, unwed mothers. These women have recently left Grantham House, a home where expectant unwed mothers receive support, room and board in the months prior to giving birth. Dinky wants to beg off the dinner, saying he has a bad cold, and asks Archie to fill in for him. Archie agrees and, chatting with Rose Tuttle after dinner, learns that Faith Usher carries around a vial of cyanide. Apparently Faith wants to have it handy should she ever decide to commit suicide. Rose is worried, and Archie reassures her by promising that he'll see to it that nothing bad happens.|2|1||||2001-04-22||2001-01-01||||2 1 Archie gets a phone call from Dinky Byne, who is expected at a dinner party that night, given by his aunt in honor of four young, unwed mothers. These women have recently left Grantham House, a home where expectant unwed mothers receive support, room and board in the months prior to giving birth. Dinky wants to beg off the dinner, saying he has a bad cold, and asks Archie to fill in for him. Archie agrees and, chatting with Rose Tuttle after dinner, learns that Faith Usher carries around a vial of cyanide. Apparently Faith wants to have it handy should she ever decide to commit suicide. Rose is worried, and Archie reassures her by promising that he'll see to it that nothing bad happens. 2001-01-01 2001-04-22 The Doorbell Rang (2)
4689||Emiri Kato|||||||||||||1 Emiri Kato
4690|Apple A Day||After a busy day, dinner shouldn't be another challenge. Jacques shares the Shrimp Burger he discovered at Dr. Taco in Playa del Carmen and a great improvisational Bean Pur?e with Anchovies or Smoked Oysters. With the appetite under control, there is time to work on Wonton Cannelloni in Tomato Sauce, Parsley and Pumpkin Seed Salad, and Caramelized Apple Granola Timbales.|6|1||||||||||1 After a busy day, dinner shouldn't be another challenge. Jacques shares the Shrimp Burger he discovered at Dr. Taco in Playa del Carmen and a great improvisational Bean Pur?e with Anchovies or Smoked Oysters. With the appetite under control, there is time to work on Wonton Cannelloni in Tomato Sauce, Parsley and Pumpkin Seed Salad, and Caramelized Apple Granola Timbales. 6 Apple A Day
4691||Christopher McCulloch|||||||||||||Writing Christopher McCulloch
4692||Alberto Amato|||||||||||||Alberto Amato 0
4693||Park Chul-min|||||||||||||Park Chul-min 2
4694||Bas?lio|||||||||||||Bas?lio 0
4695||Bianca Kronl?f|||||||||||||1 Bianca Kronl?f
4696|Chapter 3||Francis heads for his hometown to deal with a crisis. Zoe negotiates the politics of being a journalist on the rise. Claire finds herself a new business partner.|3|1||||2013-02-01||2013-01-01||||1 2013-01-01 2013-02-01 Chapter 3 Francis heads for his hometown to deal with a crisis. Zoe negotiates the politics of being a journalist on the rise. Claire finds herself a new business partner. 3
4697|Chapter 60||While Frank attends an elite men's weekend gathering to firm up support, Claire deals with a stranded Russian ship and threats from Petrov.|8|5||||2017-05-30||2017-01-01||||8 2017-05-30 While Frank attends an elite men's weekend gathering to firm up support, Claire deals with a stranded Russian ship and threats from Petrov. Chapter 60 5 2017-01-01
4698||Jace Alexander|||||||||||||Jace Alexander Directing
4699|Episode 5|||5|3||||2019-03-29||2019-01-01||||2019-03-29 Episode 5 2019-01-01 5 3
4700||James Bloom|||||||||||||2 James Bloom
4701|[41] Otorimonogatari [1] Nadeko Medusa - Part 1||Nadeko Sengoku's classmates are all strained thin due to the “hocus-pocus” of con artist Deishu Kaiki. Because of that, Nadeko goes to school every day with a heavy heart; but one day, she starts seeing white snakes all over the place. |10|3||||2013-09-22||2013-01-01||||2013-09-22 [41] Otorimonogatari [1] Nadeko Medusa - Part 1 2013-01-01 10 Nadeko Sengoku's classmates are all strained thin due to the “hocus-pocus” of con artist Deishu Kaiki. Because of that, Nadeko goes to school every day with a heavy heart; but one day, she starts seeing white snakes all over the place.  3
4702|At the Edge of the Desert|||2|8||||1960-09-25||1960-01-01||||At the Edge of the Desert 2 8 1960-01-01 1960-09-25
4703||Christopher Bolton|||||||||||||2 Christopher Bolton
4704|N-I–NIGHTMARE ON D-I–DIMEO STREET||The DiMeo kids mistakenly eat old Halloween candy that causes feverish dreams of horror and wish fulfillment, and Kenneth agonizes over which era of Michael Jackson to dress as for Halloween.|5|2||||2017-10-25||2017-01-01||||2 2017-10-25 The DiMeo kids mistakenly eat old Halloween candy that causes feverish dreams of horror and wish fulfillment, and Kenneth agonizes over which era of Michael Jackson to dress as for Halloween. 5 N-I–NIGHTMARE ON D-I–DIMEO STREET 2017-01-01
4705||Jin (Shizen no Teki-P)|||||||||||||2 Jin (Shizen no Teki-P)
4706||Kenith Trodd|||||||||||||Kenith Trodd 0
4707|Porno Gil||Larry sets off a bizarre chain of events (as he always seems to do) in which he is forced to attend a party at the home of a porno businessman.|3|1||||2000-10-29||2000-01-01||||1 Porno Gil Larry sets off a bizarre chain of events (as he always seems to do) in which he is forced to attend a party at the home of a porno businessman. 2000-10-29 2000-01-01 3
4708||S. V. Ranga Rao|||||||||||||S. V. Ranga Rao 2
4709||Mark Goddard|||||||||||||2 Mark Goddard
4710|The Fugitive|||23|1||||1962-07-24||1962-01-01||||1962-01-01 1 23 1962-07-24 The Fugitive
4711|Turkey Farmer||Turkey farmer, potato farmer, waste water sewage plant|2|2||||2006-01-17||2006-01-01||||2 Turkey farmer, potato farmer, waste water sewage plant 2 Turkey Farmer 2006-01-17 2006-01-01
4712|Episode 46|||46|1||||2003-03-27||2003-01-01||||2003-03-27 46 1 Episode 46 2003-01-01
4713||David Lloyd|||||||||||||David Lloyd 0 Acting
4714|Episode 3|||3|1||||2018-04-29||2018-01-01||||2018-01-01 1 Episode 3 2018-04-29 3
4715|Getting Nekkid||Looking for change in her career and attitude, Mary Jane has an interesting encounter with a new man.|1|4||||2017-01-10||2017-01-01||||1 Getting Nekkid Looking for change in her career and attitude, Mary Jane has an interesting encounter with a new man. 2017-01-01 4 2017-01-10
4716|Hair Fairy||Mike installs a metal power pole in Wyoming and later learns about how to remove lice from hair in San Francisco.|3|7||||2011-01-18||2011-01-01||||Hair Fairy 2011-01-18 7 2011-01-01 Mike installs a metal power pole in Wyoming and later learns about how to remove lice from hair in San Francisco. 3
4717||Ramiz Azizbeyli|||||||||||||Ramiz Azizbeyli 2
4718||Kaoru Morota|||||||||||||1 Kaoru Morota
4719|The Grenade|||14|7||||1960-01-03||1960-01-01||||1960-01-03 The Grenade 7 1960-01-01 14
4720|Episodio 7|||7|1||||2003-01-16||2003-01-01||||1 7 Episodio 7 2003-01-01 2003-01-16
4721||Patricia Hamilton|||||||||||||1 Patricia Hamilton
4722||Lisa Cholodenko|||||||||||||1 Lisa Cholodenko Directing
4723|Episode 19|||19|1||||2016-12-23||2016-01-01||||1 19 Episode 19 2016-12-23 2016-01-01
4724||Sherri Jurls|||||||||||||Sherri Jurls 0
4725||Derek Jacobi|||||||||||||Derek Jacobi 2
4726||Sky One||||||||||||GB|network Sky One GB
4727|Lupulos' House||An emotional journey that takes us into one father – daughter relationship, through their struggles and dificult?is, ending in the house by the sea where they were happy together.||||||2016-03-04||2016-01-01|24|Documentary||2016-03-04 en 2016-01-01 Espa?ol http://www.elccc.com.mx/sitio/index.php/produccion-filmica/2015-2019/2016/1444-la-casa-de-los-lupulos-lupulos-house-d Mexico La casa de los Lupulos Lupulos' House 24 0 0 Released Documentary An emotional journey that takes us into one father – daughter relationship, through their struggles and dificult?is, ending in the house by the sea where they were happy together.
4728||Ilka Zafirova|||||||||||||Ilka Zafirova 0
4729||Kourosh Ataee|||||||||||||Directing Kourosh Ataee 0
4730|Una Nueva Soda|||1|6||||1999-01-07||1999-01-01||||Una Nueva Soda 1 6 1999-01-01 1999-01-07
4731|Al Pitcher g?star|||5|2||||2018-04-06||2018-01-01||||2018-01-01 2 2018-04-06 5 Al Pitcher g?star
4732||Mari Fletcher|||||||||||||Mari Fletcher 0
4733||Paul Simonon|||||||||||||2 Paul Simonon
4734|Headless Body: The Kim Barry Murder||In 1981, the headless and fingerless body of 19-year-old Kim Narelle Barry was found dumped in the bush at a mountain lookout near Wollongong, south of Sydney. Kim’s head and fingers were later found in bushland some distance from the lookout and damage to the skull showed she had been bludgeoned to death. Then, by chance, detectives discovered that on the night she died Kim had been in the company of a local miner, 24-year-old Graham Potter, who had suddenly disappeared. A national manhunt led to his eventual surrender. Potter was convicted of Kim Barry’s murder and sentenced to life imprisonment. No motive was ever established for the killing and Potter, who was released in 1996 after serving 15 years, still declares he is innocent.|4|2||||2008-05-29||2008-01-01||||2 Headless Body: The Kim Barry Murder 2008-05-29 In 1981, the headless and fingerless body of 19-year-old Kim Narelle Barry was found dumped in the bush at a mountain lookout near Wollongong, south of Sydney. Kim’s head and fingers were later found in bushland some distance from the lookout and damage to the skull showed she had been bludgeoned to death. Then, by chance, detectives discovered that on the night she died Kim had been in the company of a local miner, 24-year-old Graham Potter, who had suddenly disappeared. A national manhunt led to his eventual surrender. Potter was convicted of Kim Barry’s murder and sentenced to life imprisonment. No motive was ever established for the killing and Potter, who was released in 1996 after serving 15 years, still declares he is innocent. 2008-01-01 4
4735|Caring Sharing Monty||When Monty's friend doesn't return a toy that he's borrowed, Monty decides to stop sharing his things.|60|1||||2017-07-21||2017-01-01||||60 1 Caring Sharing Monty 2017-07-21 2017-01-01 When Monty's friend doesn't return a toy that he's borrowed, Monty decides to stop sharing his things.
4736||Michio Fukuda|||||||||||||2 Michio Fukuda
4737|Episode 2||Mr. Gone claims another victim, Glorie, at the laundromat.  Julie receives an call from Mr. Gone, placed by an Isz, one of his many servants.  Gone has set his sights on Julie.  Maxx finds the Isz making a call and follows it straight to Mr. Gone.  As usual, Maxx expresses his thoughts, and forgets that he's talking out loud again.|2|1||||1995-04-08||1995-01-01||||2 Mr. Gone claims another victim, Glorie, at the laundromat.  Julie receives an call from Mr. Gone, placed by an Isz, one of his many servants.  Gone has set his sights on Julie.  Maxx finds the Isz making a call and follows it straight to Mr. Gone.  As usual, Maxx expresses his thoughts, and forgets that he's talking out loud again. 1995-04-08 1 Episode 2 1995-01-01
4738|Hand Walk II ~ Muscle Gym ~ Ottoto 9|||21|1||||||||||1 Hand Walk II ~ Muscle Gym ~ Ottoto 9 21
4739||Stephan Schmidt|||||||||||||Stephan Schmidt 0
4740|Chicken Busters|||26|5||||2010-01-19||2010-01-01||||Chicken Busters 2010-01-01 2010-01-19 5 26
4741|Master of Magic||A young girl possesses magical powers and wants to be trained as a magician, is working with a stage magician named Yago as his assistant. She is trying to master of her new tricks, levitating a tambourine while playing it, but Yago tells her that she is bad and will never make it. When she says she will search for a new teacher, he orders her to stay. In Yago's opinion, Ace Cooper is only a second-class magician, pushed to stardom by the media. Mr. Alexandre, the owner of the club gives her the address of Ace and tells her to go and see him. Yago (who thinks he's the greatest magician alive) is furious and he scares his audience with a magic trick that includes a fiery dragon and a phoenix, ruining the club. Meanwhile, Ace and Cosmo are driving by Electro City's bank and discover Spade and Diamond taking pictures of the building. Ace and Cosmo pursue them and the two run into a lamp post. Ace mumbles that Blackjack is planning something. Back at the Ring Theater, the girl, whose name|9|2||||||||||2 A young girl possesses magical powers and wants to be trained as a magician, is working with a stage magician named Yago as his assistant. She is trying to master of her new tricks, levitating a tambourine while playing it, but Yago tells her that she is bad and will never make it. When she says she will search for a new teacher, he orders her to stay. In Yago's opinion, Ace Cooper is only a second-class magician, pushed to stardom by the media. Mr. Alexandre, the owner of the club gives her the address of Ace and tells her to go and see him. Yago (who thinks he's the greatest magician alive) is furious and he scares his audience with a magic trick that includes a fiery dragon and a phoenix, ruining the club. Meanwhile, Ace and Cosmo are driving by Electro City's bank and discover Spade and Diamond taking pictures of the building. Ace and Cosmo pursue them and the two run into a lamp post. Ace mumbles that Blackjack is planning something. Back at the Ring Theater, the girl, whose name 9 Master of Magic
4742|Chapter 55||The day before the election, Conway holds a 24-hour Skype session with voters, while Frank and Claire stump in key states and try to discredit him.|3|5||||2017-05-30||2017-01-01||||The day before the election, Conway holds a 24-hour Skype session with voters, while Frank and Claire stump in key states and try to discredit him. 2017-05-30 Chapter 55 5 2017-01-01 3
4743|Strangled, Not Stirred||Ballard and Gharty investigate the deaths of two single women who were bought drinks by a married couple. The victims were stunned and then strangled. The other detectives receive detailed information that helps them close the open Mahoney drug shootings. Their helpful informant turns out to be Lewis, who has a hearing coming up Ballard and Gharty get their suspect in the box and he claims to be the one to stun the victims, but his wife actually did the strangulation. Ballard is skeptical about the woman's involvement, but the evidence points to the couple.|19|6||||1998-04-10||1998-01-01||||Ballard and Gharty investigate the deaths of two single women who were bought drinks by a married couple. The victims were stunned and then strangled. The other detectives receive detailed information that helps them close the open Mahoney drug shootings. Their helpful informant turns out to be Lewis, who has a hearing coming up Ballard and Gharty get their suspect in the box and he claims to be the one to stun the victims, but his wife actually did the strangulation. Ballard is skeptical about the woman's involvement, but the evidence points to the couple. 19 6 Strangled, Not Stirred 1998-04-10 1998-01-01
4744|I Want to Get Married|||7|6||||1958-11-16||1958-01-01||||7 6 1958-11-16 I Want to Get Married 1958-01-01
4745||Victor Nelli Jr.|||||||||||||Victor Nelli Jr. Directing
4746|The Wire||Hoping to bury an unsightly telephone wire dangling over their yard, Larry and Cheryl befriend a pair of bizarre neighbors who must approve the burial. The husband is an incompetent lawyer but a big Seinfeld fan, so to appease him Larry arranges to have Julia Louis-Dreyfuss come for a visit. But when the actress arrives, the lawyer is missing; he's been hired to defend Jeff in a case involving a destructive kid Jeff sponsored for a Fresh Air Fund camp. At Larry's house, Julia ends up buying a bracelet from the lawyer's wife -- the same kind Larry wanted in episode 4 -- only to later accuse Larry of stealing it after he buys a similar one for Cheryl.|6|1||||2000-11-19||2000-01-01||||2000-11-19 1 The Wire Hoping to bury an unsightly telephone wire dangling over their yard, Larry and Cheryl befriend a pair of bizarre neighbors who must approve the burial. The husband is an incompetent lawyer but a big Seinfeld fan, so to appease him Larry arranges to have Julia Louis-Dreyfuss come for a visit. But when the actress arrives, the lawyer is missing; he's been hired to defend Jeff in a case involving a destructive kid Jeff sponsored for a Fresh Air Fund camp. At Larry's house, Julia ends up buying a bracelet from the lawyer's wife -- the same kind Larry wanted in episode 4 -- only to later accuse Larry of stealing it after he buys a similar one for Cheryl. 6 2000-01-01
4747|Episode 1||'Sketches:Indian Office,Check Please - Fat,What does it mean to be a Sikh?,Calcutta Male Vocal Choir,New Image Muffins,Check Please - Rash,What does it mean to be a Hindu?,Smita Smitten,Cinema Ad,Going For An English,Check Please - Models,Guru - Rhapsody,Briefly Encountered,Muslim Gag,Dinner at the Coopers,Check Please - Fish smell,Kiss My Chuddies (song),Guru Doorstepper - Becoming a Hindu.|1|1||||1998-01-12||1998-01-01||||1 1 1998-01-12 Episode 1 'Sketches:Indian Office,Check Please - Fat,What does it mean to be a Sikh?,Calcutta Male Vocal Choir,New Image Muffins,Check Please - Rash,What does it mean to be a Hindu?,Smita Smitten,Cinema Ad,Going For An English,Check Please - Models,Guru - Rhapsody,Briefly Encountered,Muslim Gag,Dinner at the Coopers,Check Please - Fish smell,Kiss My Chuddies (song),Guru Doorstepper - Becoming a Hindu. 1998-01-01
4748|Five by Eight|||11|1||||1962-12-10||1962-01-01||||1962-01-01 1 Five by Eight 1962-12-10 11
4749||David de Keyser|||||||||||||2 David de Keyser
4750||David Manson|||||||||||||David Manson 0
4751|Honest Larceny|||18|1||||1962-06-19||1962-01-01||||1962-01-01 1 1962-06-19 18 Honest Larceny
4752|Purging and Cleansing||Mary Jane begins a life cleanse; Cece blackmails Mary Jane; Patrick and Paul Sr. clash over custody of D'Asia.|9|3||||2015-12-08||2015-01-01||||2015-01-01 Purging and Cleansing 9 Mary Jane begins a life cleanse; Cece blackmails Mary Jane; Patrick and Paul Sr. clash over custody of D'Asia. 2015-12-08 3
4753|Blackfly||A young surveyer, new to Ontario, encounters the blackflies. Over and over again, he encounters those blackflies.||||||1991-12-28||1991-01-01|5| Comedy||Comedy Blackfly Canada https://www.nfb.ca/film/blackfly/ English en Animation 1991-01-01 A young surveyer, new to Ontario, encounters the blackflies. Over and over again, he encounters those blackflies. 5 Blackfly 0 0 1991-12-28 Released  Family
4754||Alberto Alessi|||||||||||||Alberto Alessi 0
4755|Episode 41|||41|1||||2003-03-19||2003-01-01||||1 41 2003-01-01 2003-03-19 Episode 41
4756||Manuel Alexandre|||||||||||||2 Manuel Alexandre
4757||Cressida Cowell|||||||||||||1 Cressida Cowell Writing
4758||Taneli M?kel?|||||||||||||Taneli M?kel? 2 Acting
4759||Dan Simon|||||||||||||Dan Simon 0
4760||John Furia, Jr.|||||||||||||John Furia, Jr. Writing
4761||Tian Jun Gu|||||||||||||Tian Jun Gu
4762||?zkan U?ur|||||||||||||2 ?zkan U?ur
4763||Martin ?trba|||||||||||||Martin ?trba 0
4764|Blood Ties (1)||Their rotation in robbery is up, Frank and Tim return to the homicide unit. They find that citations are being handed out to the unit and a delighted Gee, whose clearance rate is the highest it has been in five years. Kellerman and Lewis are also scheduled to return. Howard is still on assignment with the fugitive squad. Additions to the unit through rotated assignment include Det. Ballard who actually comes from a Seattle homicide unit, Det. Falsone and Det. Gharty. Falsone and Gharty worked with the unit on the Felton case last spring; however, nothing is mentioned about the status of that case. (Sharp-eyed viewers note that Felton's name is still in red under Pembleton's name on the board.) Meanwhile, Gee attends a black tie function honoring Felix Wilson, a respected member of the community. Because he grew up with them, Gee sits at a table with Felix, his wife and their family. Everyone attending the function at the hotel is kept late because the body of a woman is found dead in t|1|6||||1997-10-17||1997-01-01||||1997-01-01 Their rotation in robbery is up, Frank and Tim return to the homicide unit. They find that citations are being handed out to the unit and a delighted Gee, whose clearance rate is the highest it has been in five years. Kellerman and Lewis are also scheduled to return. Howard is still on assignment with the fugitive squad. Additions to the unit through rotated assignment include Det. Ballard who actually comes from a Seattle homicide unit, Det. Falsone and Det. Gharty. Falsone and Gharty worked with the unit on the Felton case last spring; however, nothing is mentioned about the status of that case. (Sharp-eyed viewers note that Felton's name is still in red under Pembleton's name on the board.) Meanwhile, Gee attends a black tie function honoring Felix Wilson, a respected member of the community. Because he grew up with them, Gee sits at a table with Felix, his wife and their family. Everyone attending the function at the hotel is kept late because the body of a woman is found dead in t 1 Blood Ties (1) 6 1997-10-17
4765||Roy Garcia|||||||||||||Roy Garcia 0
4766|The Lady in the Fish Bowl|||9|7||||1959-11-22||1959-01-01||||9 The Lady in the Fish Bowl 7 1959-01-01 1959-11-22
4767|Pea Soup||Monty thinks Gran's soup might be the tastiest ever, but he wonders how you can know if something is the best in the world.|23|1||||2016-09-07||2016-01-01||||Monty thinks Gran's soup might be the tastiest ever, but he wonders how you can know if something is the best in the world. 1 23 2016-09-07 2016-01-01 Pea Soup
4768||Eric Schlumberger|||||||||||||Eric Schlumberger 0
4769|Episode 14|||14|1||||2016-12-18||2016-01-01||||Episode 14 1 2016-12-18 2016-01-01 14
4770||Jos? Carlos Monteiro|||||||||||||2 Jos? Carlos Monteiro
4771|Falcon's Roost|||12|1||||1957-12-19||1957-01-01||||1957-01-01 1 12 Falcon's Roost 1957-12-19
4772|The Archer's Ring||'A beautiful young chinese woman, Monique Le Febure asks Adam Troy to charter his schooner ''''Tiki'''' to look for his grand-father. She tells the story of a group of old chinese men who for their retirement returned to their island with their personal belongings. They were in a seaplane, which apparently disappeared and sunk.|14|1||||1960-01-11||1960-01-01||||1 The Archer's Ring 'A beautiful young chinese woman, Monique Le Febure asks Adam Troy to charter his schooner ''''Tiki'''' to look for his grand-father. She tells the story of a group of old chinese men who for their retirement returned to their island with their personal belongings. They were in a seaplane, which apparently disappeared and sunk. 1960-01-11 1960-01-01 14
4773|Storm Watch|||12|1||||2008-08-31||2008-01-01||||1 12 2008-08-31 Storm Watch 2008-01-01
4774|The Silent Partners||Conjectural Technologies' newfound success hits a snag when Billy is kidnapped by the same mysterious benefactors who invested in their company, and SPHINX launches an investigation aimed at determining who is behind these dubious financiers.|15|4||||2010-10-24||2010-01-01||||2010-01-01 4 15 2010-10-24 Conjectural Technologies' newfound success hits a snag when Billy is kidnapped by the same mysterious benefactors who invested in their company, and SPHINX launches an investigation aimed at determining who is behind these dubious financiers. The Silent Partners
4775|Haunted Houses||Maggie reveals Cohle's activities in 2002, when his relationship with Hart fractured and he quit the force.|6|1||||2014-02-23||2014-01-01||||Haunted Houses 1 Maggie reveals Cohle's activities in 2002, when his relationship with Hart fractured and he quit the force. 2014-02-23 6 2014-01-01
4776||Susie Farris|||||||||||||1 Susie Farris
4777|Episode 3|||3|2||||1998-11-27||1998-01-01||||2 Episode 3 1998-11-27 1998-01-01 3
4778||Burnie Burns|||||||||||||Burnie Burns 2 Acting
4779||Ziya Ulkenciler|||||||||||||0 Ziya Ulkenciler
4780||Tsurube Sh?fukutei|||||||||||||2 Tsurube Sh?fukutei
4781||Thiago Lacerda|||||||||||||Thiago Lacerda 2
